Region,Month/Year,Occupancy Rate,Room nights sold (Rounded to nearest thousand)
South Shore,August 2009,0,32000
Halifax Metro,August 2009,0,155000
Eastern Shore,August 2009,0,5000
Cape Breton,August 2009,0,76000
Northumberland Shore,August 2009,0,31000
Bay of Fundy/Annapolis Valley,August 2009,0,58000
Yarmouth/Acadian Shores,August 2009,0,9000
Province,August 2009,0,366000
South Shore,September 2009,0,25000
Halifax Metro,September 2009,0,131000
Eastern Shore,September 2009,0,4000
Cape Breton,September 2009,0,55000
Northumberland Shore,September 2009,0,23000
Bay of Fundy/Annapolis Valley,September 2009,0,43000
Yarmouth/Acadian Shores,September 2009,0,9000
Province,September 2009,0,289000
South Shore,October 2009,0,16000
Halifax Metro,October 2009,0,116000
Eastern Shore,October 2009,0,2000
Cape Breton,October 2009,0,46000
Northumberland Shore,October 2009,0,16000
Bay of Fundy/Annapolis Valley,October 2009,0,30000
Yarmouth/Acadian Shores,October 2009,0,5000
Province,October 2009,0,232000
South Shore,November 2009,0,7000
Halifax Metro,November 2009,0,95000
Eastern Shore,November 2009,0,1000
Cape Breton,November 2009,0,18000
Northumberland Shore,November 2009,0,12000
Bay of Fundy/Annapolis Valley,November 2009,0,18000
Yarmouth/Acadian Shores,November 2009,0,5000
Province,November 2009,0,156000
South Shore,December 2009,0,6000
Halifax Metro,December 2009,0,66000
Eastern Shore,December 2009,0,0
Cape Breton,December 2009,0,13000
Northumberland Shore,December 2009,0,9000
Bay of Fundy/Annapolis Valley,December 2009,0,13000
Yarmouth/Acadian Shores,December 2009,0,3000
Province,December 2009,0,110000
South Shore,January 2010,0,6000
Halifax Metro,January 2010,0,68000
Eastern Shore,January 2010,0,0
Cape Breton,January 2010,0,11000
Northumberland Shore,January 2010,0,8000
Bay of Fundy/Annapolis Valley,January 2010,0,13000
Yarmouth/Acadian Shores,January 2010,0,3000
Province,January 2010,0,109000
South Shore,February 2010,0,7000
Halifax Metro,February 2010,0,81000
Eastern Shore,February 2010,0,0
Cape Breton,February 2010,0,12000
Northumberland Shore,February 2010,0,8000
Bay of Fundy/Annapolis Valley,February 2010,0,15000
Yarmouth/Acadian Shores,February 2010,0,3000
Province,February 2010,0,126000
South Shore,March 2010,0,9000
Halifax Metro,March 2010,0,107000
Eastern Shore,March 2010,0,0
Cape Breton,March 2010,0,19000
Northumberland Shore,March 2010,0,11000
Bay of Fundy/Annapolis Valley,March 2010,0,18000
Yarmouth/Acadian Shores,March 2010,0,4000
Province,March 2010,0,168000
South Shore,April 2010,0,9000
Halifax Metro,April 2010,0,101000
Eastern Shore,April 2010,0,1000
Cape Breton,April 2010,0,14000
Northumberland Shore,April 2010,0,11000
Bay of Fundy/Annapolis Valley,April 2010,0,19000
Yarmouth/Acadian Shores,April 2010,0,4000
Province,April 2010,0,158000
South Shore,May 2010,0,13000
Halifax Metro,May 2010,0,120000
Eastern Shore,May 2010,0,1000
Cape Breton,May 2010,0,24000
Northumberland Shore,May 2010,0,15000
Bay of Fundy/Annapolis Valley,May 2010,0,26000
Yarmouth/Acadian Shores,May 2010,0,5000
Province,May 2010,0,204000
South Shore,June 2010,0,17000
Halifax Metro,June 2010,0,147000
Eastern Shore,June 2010,0,2000
Cape Breton,June 2010,0,41000
Northumberland Shore,June 2010,0,17000
Bay of Fundy/Annapolis Valley,June 2010,0,33000
Yarmouth/Acadian Shores,June 2010,0,5000
Province,June 2010,0,263000
South Shore,July 2010,0,28000
Halifax Metro,July 2010,0,161000
Eastern Shore,July 2010,0,4000
Cape Breton,July 2010,0,68000
Northumberland Shore,July 2010,0,31000
Bay of Fundy/Annapolis Valley,July 2010,0,52000
Yarmouth/Acadian Shores,July 2010,0,8000
Province,July 2010,0,353000
South Shore,August 2010,0,32000
Halifax Metro,August 2010,0,149000
Eastern Shore,August 2010,0,5000
Cape Breton,August 2010,0,75000
Northumberland Shore,August 2010,0,30000
Bay of Fundy/Annapolis Valley,August 2010,0,52000
Yarmouth/Acadian Shores,August 2010,0,7000
Province,August 2010,0,351000
South Shore,September 2010,0,22000
Halifax Metro,September 2010,0,142000
Eastern Shore,September 2010,0,4000
Cape Breton,September 2010,0,57000
Northumberland Shore,September 2010,0,22000
