Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,July 2006,Overseas,Overseas,0
Air,August 2006,Atlantic Canada,Canada,"5,600"
Air,August 2006,Quebec,Canada,"5,500"
Air,August 2006,Ontario,Canada,"36,600"
Air,August 2006,Western Canada,Canada,"21,700"
Air,August 2006,New England (inc Maine),United States,"2,100"
Air,August 2006,Middle Atlantic,United States,"3,200"
Air,August 2006,East North Central,United States,"2,900"
Air,August 2006,West North Central,United States,900
Air,August 2006,South Atlantic,United States,"4,800"
Air,August 2006,East South Central,United States,400
Air,August 2006,West South Central,United States,"1,300"
Air,August 2006,Mountain,United States,"1,200"
Air,August 2006,Pacific,United States,"2,500"
Air,August 2006,United Kingdom,Overseas,"2,900"
Air,August 2006,Germany,Overseas,"4,200"
Air,August 2006,Other Europe,Overseas,"3,400"
Air,August 2006,Other Overseas,Overseas,"3,300"
Road,August 2006,Atlantic Canada,Canada,"119,000"
Road,August 2006,Quebec,Canada,"14,900"
Road,August 2006,Ontario,Canada,"47,100"
Road,August 2006,Western Canada,Canada,"3,500"
Road,August 2006,Maine (by road only),United States,"3,400"
Road,August 2006,Other New England,United States,"11,700"
Road,August 2006,Middle Atlantic,United States,"8,100"
Road,August 2006,East North Central,United States,"2,400"
Road,August 2006,West North Central,United States,900
Road,August 2006,South Atlantic,United States,"4,300"
Road,August 2006,East South Central,United States,400
Road,August 2006,West South Central,United States,"1,000"
Road,August 2006,Mountain,United States,"1,000"
Road,August 2006,Pacific,United States,"1,300"
Road,August 2006,Overseas,Overseas,0
Air,September 2006,Atlantic Canada,Canada,"8,900"
Air,September 2006,Quebec,Canada,"4,500"
Air,September 2006,Ontario,Canada,"23,400"
Air,September 2006,Western Canada,Canada,"14,200"
Air,September 2006,New England (inc Maine),United States,"1,400"
Air,September 2006,Middle Atlantic,United States,"2,100"
Air,September 2006,East North Central,United States,"1,600"
Air,September 2006,West North Central,United States,700
Air,September 2006,South Atlantic,United States,"2,800"
Air,September 2006,East South Central,United States,400
Air,September 2006,West South Central,United States,900
Air,September 2006,Mountain,United States,900
Air,September 2006,Pacific,United States,"1,700"
Air,September 2006,United Kingdom,Overseas,"3,500"
Air,September 2006,Germany,Overseas,"1,300"
Air,September 2006,Other Europe,Overseas,"2,000"
Air,September 2006,Other Overseas,Overseas,"2,500"
Road,September 2006,Atlantic Canada,Canada,"103,800"
Road,September 2006,Quebec,Canada,"4,600"
Road,September 2006,Ontario,Canada,"22,000"
Road,September 2006,Western Canada,Canada,"2,900"
Road,September 2006,Maine (by road only),United States,"2,200"
Road,September 2006,Other New England,United States,"6,900"
Road,September 2006,Middle Atlantic,United States,"5,000"
Road,September 2006,East North Central,United States,"2,500"
Road,September 2006,West North Central,United States,600
Road,September 2006,South Atlantic,United States,"3,300"
Road,September 2006,East South Central,United States,400
Road,September 2006,West South Central,United States,500
Road,September 2006,Mountain,United States,600
Road,September 2006,Pacific,United States,"1,000"
Road,September 2006,Overseas,Overseas,0
Air,October 2006,Atlantic Canada,Canada,"6,100"
Air,October 2006,Quebec,Canada,"4,100"
Air,October 2006,Ontario,Canada,"20,100"
Air,October 2006,Western Canada,Canada,"11,400"
Air,October 2006,New England (inc Maine),United States,"1,100"
Air,October 2006,Middle Atlantic,United States,"1,500"
Air,October 2006,East North Central,United States,"1,100"
Air,October 2006,West North Central,United States,400
Air,October 2006,South Atlantic,United States,"2,300"
Air,October 2006,East South Central,United States,200
Air,October 2006,West South Central,United States,500
Air,October 2006,Mountain,United States,300
Air,October 2006,Pacific,United States,"1,500"
Air,October 2006,United Kingdom,Overseas,"2,900"
Air,October 2006,Germany,Overseas,"4,700"
Air,October 2006,Other Europe,Overseas,"2,000"
Air,October 2006,Other Overseas,Overseas,"1,400"
Road,October 2006,Atlantic Canada,Canada,"96,900"
Road,October 2006,Quebec,Canada,"2,000"
Road,October 2006,Ontario,Canada,"11,100"
Road,October 2006,Western Canada,Canada,"1,400"
Road,October 2006,Maine (by road only),United States,"1,500"
Road,October 2006,Other New England,United States,"3,300"
Road,October 2006,Middle Atlantic,United States,"1,900"
Road,October 2006,East North Central,United States,"1,000"
Road,October 2006,West North Central,United States,300
Road,October 2006,South Atlantic,United States,"1,300"
Road,October 2006,East South Central,United States,200
